                             List of relations
 schema |                      name                      | type  |  owner   
--------+------------------------------------------------+-------+----------
 public | _campaign_properties                           | table | edgeflip
 public | _campaigns                                     | table | edgeflip
 public | _clients                                       | table | edgeflip
 public | _clientstats                                   | table | edgeflip
 public | _edges                                         | table | edgeflip
 public | _events                                        | table | edgeflip
 public | _tokens                                        | table | edgeflip
 public | _user_clients                                  | table | edgeflip
 public | _userdump                                      | table | edgeflip
 public | _visitors                                      | table | edgeflip
 public | _visits                                        | table | edgeflip
 public | afy_aggregates                                 | table | edgeflip
 public | afy_fbids                                      | table | edgeflip
 public | alembic_version                                | table | edgeflip
 public | all_join                                       | table | edgeflip
 public | amer_alums                                     | table | edgeflip
 public | batch_with_keys                                | table | edgeflip
 public | batch_without_keys                             | table | edgeflip
 public | campaign_properties                            | table | edgeflip
 public | campaignhourly                                 | table | edgeflip
 public | campaignrollups                                | table | edgeflip
 public | campaigns                                      | table | edgeflip
 public | city_classification                            | table | edgeflip
 public | clientrollups                                  | table | edgeflip
 public | clients                                        | table | edgeflip
 public | content                                        | table | edgeflip
 public | dimension_metadata                             | table | edgeflip
 public | distinct_topword_fbids                         | table | edgeflip
 public | dyn_tokens                                     | table | edgeflip
 public | edf_posts                                      | table | edgeflip
 public | edf_prim_user_agg                              | table | edgeflip
 public | edf_px                                         | table | edgeflip
 public | edf_users                                      | table | edgeflip
 public | edf_users_chris                                | table | edgeflip
 public | edgeflip_fbids                                 | table | edgeflip
 public | edgeflip_posts                                 | table | edgeflip
 public | edges                                          | table | edgeflip
 public | edges_sorted                                   | table | edgeflip
 public | eventhourly                                    | table | edgeflip
 public | events                                         | table | edgeflip
 public | events_visitkey                                | table | edgeflip
 public | fact_metadata                                  | table | edgeflip
 public | fb_nonprofits_list                             | table | edgeflip
 public | fb_nonprofits_org_aggregate2                   | table | edgeflip
 public | fb_nonprofits_page_info                        | table | edgeflip
 public | fb_nonprofits_page_info2                       | table | edgeflip
 public | fb_nonprofits_post_comments                    | table | edgeflip
 public | fb_nonprofits_post_comments2                   | table | edgeflip
 public | fb_nonprofits_post_likes                       | table | edgeflip
 public | fb_nonprofits_post_likes2                      | table | edgeflip
 public | fb_nonprofits_posts                            | table | edgeflip
 public | fb_nonprofits_posts2                           | table | edgeflip
 public | fb_nonprofits_posts_aggregate2                 | table | edgeflip
 public | fbid_aggregate                                 | table | edgeflip
 public | fbid_avg_stddev_edge_attributes                | table | edgeflip
 public | fbid_edges_110000                              | table | edgeflip
 public | fbid_facts_hourly                              | table | edgeflip
 public | fbid_max_edge_attributes                       | table | edgeflip
 public | fbid_nu_sample_10000                           | table | edgeflip
 public | fbid_post_ids                                  | table | edgeflip
 public | fbid_sample_1000                               | table | edgeflip
 public | fbid_sample_10000                              | table | edgeflip
 public | fbid_sample_100000                             | table | edgeflip
 public | fbid_sample_100000_messages                    | table | edgeflip
 public | fbid_sample_10000_posts_status                 | table | edgeflip
 public | fbid_sample_1000_posts_status                  | table | edgeflip
 public | fbid_sample_1k                                 | table | edgeflip
 public | fbid_sample_5000                               | table | edgeflip
 public | fbid_sample_50000                              | table | edgeflip
 public | fbid_sample_50000_from_friend_messages         | table | edgeflip
 public | fbid_sample_50000_links                        | table | edgeflip
 public | fbid_sample_50000_messages                     | table | edgeflip
 public | fbid_sample_50000_posts_status                 | table | edgeflip
 public | fbid_sample_50000_posts_status_photo_video     | table | edgeflip
 public | fbid_sample_5000_posts_status                  | table | edgeflip
 public | fbid_sample_african_american                   | table | edgeflip
 public | fbid_sample_african_american_100k              | table | edgeflip
 public | fbid_sample_african_american_words             | table | edgeflip
 public | fbid_sample_asian                              | table | edgeflip
 public | fbid_sample_asian_100k                         | table | edgeflip
 public | fbid_sample_atheist                            | table | edgeflip
 public | fbid_sample_christian                          | table | edgeflip
 public | fbid_sample_christian_forgot_christmas         | table | edgeflip
 public | fbid_sample_conservative                       | table | edgeflip
 public | fbid_sample_environment                        | table | edgeflip
 public | fbid_sample_female                             | table | edgeflip
 public | fbid_sample_happy_veteran                      | table | edgeflip
 public | fbid_sample_hispanic                           | table | edgeflip
 public | fbid_sample_hispanic_100k                      | table | edgeflip
 public | fbid_sample_jewish                             | table | edgeflip
 public | fbid_sample_lgbt                               | table | edgeflip
 public | fbid_sample_liberal                            | table | edgeflip
 public | fbid_sample_male                               | table | edgeflip
 public | fbid_sample_marc_friends                       | table | edgeflip
